unique_id,height_cm,leaf_nodes_main,leaf_nodes_other,flower_count
4,,,,
7,,,,
9,,,,
13,,,,
27,24,10,39,0
29,30,9,58,0
34,44,10,36,4
37,86,18,3,10
38,42,11,21,3
40,18,5,17,0
41,21,8,31,0
43,27,7,16,0
44,31,15,26,0
45,62,17,34,3
51,21,12,32,0
52,36,12,34,2
53,28,9,25,0
56,28,8,8,0
58,17,12,69,0
59,12,4,13,2
60,24,7,12,3
62,21,15,37,0
63,28,14,28,1
65,25,14,57,0
67,29,16,49,0
71,13,5,11,0
72,41,21,42,0
73,18,14,30,0
75,28,23,52,0
77,10,6,33,0
81,17,5,28,0
82,32,14,34,1
86,19,10,37,0
87,40,10,31,4
88,4,2,7,0
89,18,8,33,0
90,45,13,68,1
91,30,11,32,1
95,23,12,27,0
96,,,,
100,,,,
102,43,18,27,0
103,54,17,0,0
106,36,28,18,0
110,34,11,20,0
112,38,8,25,4
113,47,18,16,0
114,25,13,12,0
120,,,,
129,52,11,0,9
130,41,9,47,5
131,80,12,46,8
133,28,11,23,0
135,34,6,20,0
139,,,,
142,35,18,13,0
143,,,,
149,29,14,15,0
150,57,12,51,5
151,48.5,11,27,6
159,16,6,14,5
160,19,10,39,0
162,50,15,80,4
163,,,,
165,21,12,38,0
168,21,12,42,0
170,64,14,0,8
171,34,9,22,1
172,,,,
174,37,14,14,0
179,69,20,21,2
181,59,24,30,3
187,22,8,48,0
188,17,9,24,0
191,,,,
192,54,20,10,3
193,43,13,15,1
194,36,14,34,0
195,17,8,27,0
196,45,15,26,1
197,,,,
199,7,3,12,1
202,59,11,21,3
204,,,,
205,45,12,16,2
207,51,9,25,6
208,22,16,46,0
213,72,16,2,8
214,38,15,23,0
216,34,22,35,0
218,62,15,15,4
219,28,19,30,0
222,35,13,22,0
224,4,1,7,0
226,51,12,19,4
227,4,3,12,0
228,52,13,8,2
229,30,19,33,0
231,49,16,0,3
232,55,13,4,5
233,50,15,16,1
234,67,19,18,3
236,24,14,35,0
238,19,8,18,0
241,29,12,16,0
242,26,13,37,0
243,46,12,45,2
245,,,,
246,,,,
247,24,3,14,0
249,,,,
251,36,7,56,4
252,66,15,24,10
256,61,11,17,18
257,40,19,26,0
259,78,22,4,7
260,20,8,41,0
261,40,11,13,1
262,24,14,24,0
263,34,12,27,1
268,10,3,12,0
269,19,7,24,0
271,45,14,6,2
273,37,14,29,0
275,62,16,3,4
277,39,14,22,0
278,57,12,14,7
279,49,9,20,3
282,61,12,11,4
288,16,17,18,0
289,36,12,31,0
291,34,11,36,0
294,27,13,33,0
295,10,4,11,0
296,,,,
297,69,14,2,5
298,8,3,8,0
300,35,11,33,3
305,26,12,25,0
306,,,,
307,15,2,9,1
309,80,10,12,6
310,,,,
311,66,15,55,6
312,69,19,59,7
313,,,,
316,,,,
317,17,6,12,2
318,,,,
319,,,,
321,53,7,37,13
322,77,15,28,9
323,64,11,46,17
325,,,,
326,46,10,6,0
328,12,6,21,0
329,45,15,62,3
332,65,16,17,10
333,21,8,24,0
335,,,,
339,45,25,51,0
342,62,20,52,5
348,44,26,46,0
350,,,,
352,63,24,48,4
353,,,,
357,46,19,21,0
363,,,,
365,,,,
367,2,1,2,0
368,,,,
369,35,16,49,0
371,78,13,24,16
376,,,,
377,26,14,29,0
378,,,,
380,53,27,36,1
382,19,8,29,0
386,53,19,2,4
390,24,10,22,0
392,62,15,0,9
396,48,12,13,3
398,,,,
401,22,13,21,0
402,34,12,30,0
403,,,,
404,,,,
406,72,12,3,7
407,62,15,0,6
408,,,,
410,15,3,19,0
418,22,8,23,0
424,,,,
426,14,8,21,0
428,8,4,10,3
431,27,12,22,0
432,52,13,24,4
435,20,6,18,0
437,,,,
439,26,13,53,0
440,,,,
445,83,21,23,8
447,,,,
451,95,14,16,10
453,66,14,45,7
454,61,16,41,8
455,,,,
456,,,,
458,31,8,20,0
459,,,,
460,10,3,15,5
461,15,6,5,0
466,,,,
468,29,10,10,0
469,,,,
471,5,15,25,9
472,20,14,34,0
476,16,6,10,9
478,17,9,32,0
482,4,3,7,0
484,67,15,40,8
487,,,,
489,19,7,19,0
491,,,,
496,,,,
497,34,15,62,0
498,,,,
499,15,4,15,0
500,2.5,1,5,0
502,44,19,61,0
504,,,,
505,28,12,15,5
506,22,7,21,0
507,47,23,43,0
509,61,16,39,0
510,8,3,6,0
511,,,,
512,7,6,19,0
515,,,,
516,14,14,45,0
520,,,,
527,,,,
531,11,5,8,0
534,53,23,44,0
536,,,,
538,,,,
539,24,9,28,0
540,56,13,8,4
542,75,21,37,10
544,69,16,48,15
546,3.5,2,2,0
548,57,14,47,6
551,3,3,0,0
557,2,1,2,0
558,,,,
562,,,,
564,4,3,7,0
565,59,17,42,7
566,,,,
570,,,,
572,21,8,16,0
601,68,21,42,6
602,,,,
603,57,19,47,14
605,,,,
606,8,4,20,0
607,53,10,36,6
608,54,17,62,18
609,,,,
612,,,,
