unique_id,days_1flower
4,
7,42
9,
13,
27,
29,
34,67
37,38
38,67
40,
41,
43,
44,
45,60
51,
52,53
53,
56,
58,
59,48
60,47
62,
63,93
65,
67,
71,
72,
73,
75,
77,
81,
82,77
86,
87,47
88,
89,
90,47
91,56
95,
96,47
100,47
102,
103,42
106,
110,
112,53
113,
114,
120,
129,35
130,67
131,74
133,
135,
139,55
142,
143,47
149,
150,47
151,48
159,47
160,
162,47
163,48
165,
168,
170,38
171,60
172,47
174,
179,55
181,70
187,
188,
191,47
192,47
193,60
194,
195,
196,77
197,
199,47
202,53
204,47
205,47
207,35
208,
213,47
214,
216,
218,49
219,
222,
224,
226,53
227,
228,35
229,
231,35
232,53
233,53
234,48
236,
238,
241,
242,
243,67
245,47
246,
247,
249,
251,53
252,47
256,47
257,
259,53
260,
261,73
262,
263,56
268,
269,
271,47
273,
275,47
277,
278,42
279,48
282,48
288,
289,
291,
294,
295,77
296,
297,56
298,
300,60
305,
306,
307,48
309,47
310,
311,63
312,53
313,47
316,
317,47
318,47
319,48
321,42
322,60
323,47
325,
326,55
328,
329,73
332,42
333,
335,
339,
342,55
348,
350,
352,67
353,47
357,
363,
365,55
367,
368,
369,
371,40
376,47
377,
378,47
380,77
382,
386,60
390,
392,38
396,56
398,
401,
402,
403,
404,
406,47
407,49
408,
410,
418,
424,
426,
428,47
431,
432,47
435,
437,47
439,
440,47
445,53
447,
451,47
453,53
454,53
455,38
456,
458,
459,
460,47
461,
466,
468,
469,
471,47
472,
476,31
478,
482,
484,47
487,
489,
491,
496,
497,
498,
499,
500,
502,
504,
505,42
506,
507,67
509,76
510,
511,42
512,
515,56
516,
520,
527,
531,
534,
536,
538,
539,
540,47
542,53
544,53
546,
548,42
551,
557,
558,
562,
564,
565,60
566,42
570,47
572,
601,55
602,
603,48
605,47
606,
607,56
608,53
609,
612,
