unique_id,height_t0
4,8.1
7,11.2
9,15.8
13,6.7
27,5.7
29,7.3
34,13.9
37,13.6
38,22.7
40,3.4
41,4.3
43,3.5
44,18.4
45,5.4
51,6.4
52,7
53,12.7
56,4.3
58,4
59,7.9
60,8.6
62,4.4
63,17.5
65,6.5
67,16.6
71,18.2
72,4
73,6.2
75,4.3
77,3.7
81,8.3
82,7.4
86,4.7
87,7
88,6.1
89,6.1
90,12.2
91,6.4
95,8.5
96,6.4
100,11.5
102,6.2
103,9.2
106,13.2
110,5.3
112,4.2
113,5.1
114,9.2
120,3.3
129,4
130,17
131,9.2
133,6.2
135,7.1
139,6.6
142,17.4
143,4.7
149,10.9
150,8.1
151,24.4
159,6.6
160,4.3
162,7.1
163,19.5
165,5.6
168,5.2
170,4.9
171,14.2
172,7.4
174,16.5
179,8.6
181,5.9
187,6.4
188,6.8
191,6.8
192,6.4
193,10.2
194,15
195,7.6
196,4.6
197,6.8
199,5.9
202,7.9
204,3
205,8.1
207,8.8
208,12.5
213,11.1
214,11.3
216,8.4
218,6.8
219,5.3
222,4.5
224,6
226,8.1
227,8.2
228,8.9
229,20
231,6.3
232,18.9
233,5.4
234,17.8
236,4.9
238,7
241,9.3
242,13.4
243,5.7
245,7.7
246,6.5
247,16.8
249,8.4
251,8.1
252,14.3
256,13.4
257,6.5
259,4
260,7.7
261,7.3
262,8.6
263,5.8
268,5.4
269,5.6
271,7.9
273,23
275,5.2
277,10.3
278,7
279,17.8
282,9.6
288,8.6
289,6
291,16
294,12.2
295,7.9
296,7.9
297,14.8
298,8.3
300,6.9
305,4.9
306,5
307,19
309,5.5
310,5
311,5.6
312,9.9
313,3.7
316,3.9
317,13.4
318,8.3
319,4.5
321,6
322,9.8
323,8
325,7.9
326,11
328,8
329,5.4
332,10.7
333,4
335,18.4
339,5.8
342,5.6
348,6.2
350,18
352,5.2
353,4.6
357,8.4
363,9.6
365,11
367,9.4
368,12
369,7.6
371,9.6
376,6.5
377,6.1
378,12
380,5.3
382,3.9
386,6.1
390,5.8
392,19.5
396,7.8
398,5.4
401,6
402,10.1
403,5.9
404,6.9
406,15
407,7.2
408,7.4
410,8.7
418,11
424,6.2
426,5.2
428,9.3
431,4.8
432,17.8
435,7.9
437,8.9
439,5.8
440,9
445,8
447,6.6
451,5.9
453,7.6
454,4.5
455,12.6
456,7.6
458,7.9
459,2.9
460,8.9
461,8.8
466,7.8
468,5.5
469,14.8
471,11
472,4
476,15.3
478,18.3
482,5
484,8.4
487,7.3
489,4.8
491,8.9
496,7
497,6
498,6.1
499,8.2
500,8
502,4.3
504,8.8
505,9.3
506,8
507,4.4
509,6.2
510,5
511,9.3
512,7
515,18.1
516,7
520,7.9
527,9.8
531,10.9
534,7.5
536,11.7
538,5.3
539,4
540,12.7
542,5.9
544,4.5
546,4.2
548,15.5
551,8
557,6.3
558,8.7
562,6.6
564,6.4
565,6.2
566,17.5
570,6.9
572,5.9
601,6.3
602,6.9
603,6.9
605,10.6
606,14.5
607,15.4
608,5.3
609,3.8
612,9.2
