"","unique_id","block","trt","cross","pop_parent_1","pop_parent_2","colors","first_flower","wilt1","wilt2","wilt3","wilt4","wilt5","wilt6","wilt7","wilt8","dead1","dead2","survived","height_cm","leaf_nodes_main","bushiness","flower_count","days_1flower","flowering","w_b","pop_T","pop_B","pop_V","pop_P","pop_L","initial_h"
"1",4,"1","early drought","T2315-2xT829-3","T","T","Y_Y","","","28-mar","","12-Apr","","25-Apr","","",1,0,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,8.1
"2",7,"2","late drought","B1916-3xT2829-3","B","T","M_Y","19-Apr","22-mar","","","","24-Apr","","","",1,1,0,NA,NA,NA,NA,42,1,"b",1,1,0,0,0,11.2
"3",9,"1","early drought","B2913-2xP2409-9","B","P","M_M","","","26-mar","","9-Apr","","25-Apr","","",1,0,0,NA,NA,NA,NA,NA,0,"b",0,1,0,1,0,15.8
"4",13,"2","late drought","T2315-2xT829-3","T","T","Y_Y","","","","","","","25-Apr","","",1,0,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,6.7
"5",27,"2","control","V1014-5xL624-9","V","L","Y_Y","","","","","","","","","",0,0,1,24,10,39,0,NA,0,"b",0,0,1,0,1,5.7
"6",29,"2","control","B2315-1xP1423-7","B","P","M_M","","","","","","","","","",0,0,1,30,9,58,0,NA,0,"b",0,1,0,1,0,7.3
"7",34,"2","control","B1207-2xB1127-2","B","B","M_M","","","","","","24-Apr","","14-may","",0,0,1,44,10,36,4,67,1,"w",0,1,0,0,0,13.9
"8",37,"2","control","B2311-1xT2829-3","B","T","M_Y","15-Apr","","","","","24-Apr","","","",0,0,1,86,18,3,10,38,1,"b",1,1,0,0,0,13.6
"9",38,"1","early drought","B1427-3xB3018-3","B","B","M_M","14-may","","28-mar","","9-Apr","","25-Apr","","",0,0,1,42,11,21,3,67,1,"w",0,1,0,0,0,22.7
"10",40,"1","early drought","T3105-1xT2813-2","T","T","Y_Y","","","","","12-Apr","","25-Apr","","",0,0,1,18,5,17,0,NA,0,"w",1,0,0,0,0,3.4
"11",41,"1","early drought","T2315-2xT829-3","T","T","Y_Y","","","","","12-Apr","","25-Apr","","",0,0,1,21,8,31,0,NA,0,"w",1,0,0,0,0,4.3
"12",43,"1","early drought","T829-3xT2930-2","T","T","Y_Y","","","","","12-Apr","","25-Apr","","",0,0,1,27,7,16,0,NA,0,"w",1,0,0,0,0,3.5
"13",44,"1","early drought","B711-1xB1207-3","B","B","M_M","","","28-mar","","12-Apr","","30-Apr","","",0,0,1,31,15,26,0,NA,0,"w",0,1,0,0,0,18.4
"14",45,"2","control","T2420-1xT3105-1","T","T","Y_Y","07-may","","","","","","","","",0,0,1,62,17,34,3,60,1,"w",1,0,0,0,0,5.4
"15",51,"1","early drought","B2324-4xP513-10","B","P","M_M","","","28-mar","","8-Apr","","25-Apr","","",0,0,1,21,12,32,0,NA,0,"b",0,1,0,1,0,6.4
"16",52,"2","late drought","V2118-7xL2221-11","V","L","Y_Y","30-Apr","","","","","","26-Apr","","",0,0,1,36,12,34,2,53,1,"b",0,0,1,0,1,7
"17",53,"1","early drought","P2409-9xB2913-2","P","B","M_M","","","28-mar","","9-Apr","","30-Apr","","",0,0,1,28,9,25,0,NA,0,"b",0,1,0,1,0,12.7
"18",56,"1","early drought","B2311-1xT2829-3","B","T","M_Y","","","","","9-Apr","","25-Apr","","",0,0,1,28,8,8,0,NA,0,"b",1,1,0,0,0,4.3
"19",58,"2","control","P1423-7xB2315-1","P","B","M_M","","","","","","","","","",0,0,1,17,12,69,0,NA,0,"b",0,1,0,1,0,4
"20",59,"1","early drought","B2212-3xT2930-2","B","T","M_Y","25-Apr","","28-mar","","9-Apr","","25-Apr","","",0,0,1,12,4,13,2,48,1,"b",1,1,0,0,0,7.9
"21",60,"1","early drought","B1613-3xT2930-2","B","T","M_Y","24-Apr","","28-mar","","9-Apr","","25-Apr","","",0,0,1,24,7,12,3,47,1,"b",1,1,0,0,0,8.6
"22",62,"1","early drought","P1423-7xB2315-1","P","B","M_M","","","","","","","30-Apr","","",0,0,1,21,15,37,0,NA,0,"b",0,1,0,1,0,4.4
"23",63,"1","early drought","B1207-2xB1127-2","B","B","M_M","10-may","","26-mar","","9-Apr","","25-Apr","","",0,0,1,28,14,28,1,63,1,"w",0,1,0,0,0,17.5
"24",65,"2","control","T3105-1xT2813-2","T","T","Y_Y","","","","","","","","","",0,0,1,25,14,57,0,NA,0,"w",1,0,0,0,0,6.5
"25",67,"1","early drought","B1427-3xB3018-3","B","B","M_M","","","26-mar","","9-Apr","","25-Apr","","",0,0,1,29,16,49,0,NA,0,"w",0,1,0,0,0,16.6
"26",71,"4","early drought","B1223-1xT2315-2","B","T","M_Y","","","26-mar","","12-Apr","","26-Apr","","",0,0,1,13,5,11,0,NA,0,"b",1,1,0,0,0,18.2
"27",72,"2","control","V1014-5xL624-9","V","L","Y_Y","","","","","","","","","",0,0,1,41,21,42,0,NA,0,"b",0,0,1,0,1,4
"28",73,"2","late drought","B2324-4xP513-10","B","P","M_M","","","","","","","25-Apr","","",0,0,1,18,14,30,0,NA,0,"b",0,1,0,1,0,6.2
"29",75,"2","late drought","B2315-1xP1423-7","B","P","M_M","","","","","","","30-Apr","","",0,0,1,28,23,52,0,NA,0,"b",0,1,0,1,0,4.3
"30",77,"4","early drought","T3105-1xT2813-2","T","T","Y_Y","","","","","12-Apr","","30-Apr","","",0,0,1,10,6,33,0,NA,0,"w",1,0,0,0,0,3.7
"31",81,"2","late drought","V1014-5xL624-9","V","L","Y_Y","","","","","","","26-Apr","","",0,0,1,17,5,28,0,NA,0,"b",0,0,1,0,1,8.3
"32",82,"4","early drought","B2315-1xP1423-7","B","P","M_M","24-may","","28-mar","","12-Apr","","25-Apr","","",0,0,1,32,14,34,1,77,1,"b",0,1,0,1,0,7.4
"33",86,"2","late drought","B2311-1xT2829-3","B","T","M_Y","","","","","","","26-Apr","","",0,0,1,19,10,37,0,NA,0,"b",1,1,0,0,0,4.7
"34",87,"3","late drought","V2519-8xL1502-12","V","L","Y_Y","24-Apr","","","","","","25-Apr","","",0,0,1,40,10,31,4,47,1,"b",0,0,1,0,1,7
"35",88,"4","early drought","T2930-2xT829-3","T","T","Y_Y","","","28-mar","","9-Apr","","25-Apr","","",0,0,1,4,2,7,0,NA,0,"w",1,0,0,0,0,6.1
"36",89,"4","early drought","T2803-3xL2221-11","T","L","Y_Y","","","28-mar","","12-Apr","","30-Apr","","",0,0,1,18,8,33,0,NA,0,"b",1,0,0,0,1,6.1
"37",90,"3","control","V2519-8xL1502-12","V","L","Y_Y","24-Apr","","","","","","","","",0,0,1,45,13,68,1,47,1,"b",0,0,1,0,1,12.2
"38",91,"3","late drought","T2803-3xL2221-11","T","L","Y_Y","03-may","","","","","","30-Apr","","",0,0,1,30,11,32,1,56,1,"b",1,0,0,0,1,6.4
"39",95,"3","late drought","B723-3xT2930-2","B","T","M_Y","","","","","","","30-Apr","","",0,0,1,23,12,27,0,NA,0,"b",1,1,0,0,0,8.5
"40",96,"3","late drought","B1223-1xT2315-2","B","T","M_Y","24-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,6.4
"41",100,"4","early drought","B1916-3xT2829-3","B","T","M_Y","24-Apr","","28-mar","","9-Apr","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,11.5
"42",102,"4","early drought","B1109-1xB1503-3","B","B","M_M","","","","","","","30-Apr","","",0,0,1,43,18,27,0,NA,0,"w",0,1,0,0,0,6.2
"43",103,"3","late drought","B2913-2xP2409-9","B","P","M_M","19-Apr","","","","","","26-Apr","","",0,0,1,54,17,0,0,42,1,"b",0,1,0,1,0,9.2
