"","Chisq","Df","Pr(>Chisq)","trait"
"trt",1.32,1,0.2506,"survival"
"heterosis",0.4,1,0.5292,"survival"
"trt:heterosis",2.26,1,0.1324,"survival"
"trt1",25.72,2,0,"flowering"
"heterosis1",1.73,1,0.1882,"flowering"
"trt:heterosis1",0.28,2,0.8705,"flowering"
"trt2",39.97,2,0,"n flowers"
"heterosis2",7.72,1,0.0055,"n flowers"
"trt:heterosis2",3.48,2,0.1757,"n flowers"
"(Intercept)",8105.88,1,0,"time to flower"
"trt3",8.28,2,0.0159,"time to flower"
"heterosis3",3.25,1,0.0715,"time to flower"
"trt:heterosis3",1.53,2,0.4645,"time to flower"
"(Intercept)1",196,1,0,"height"
"trt4",44.72,2,0,"height"
"heterosis4",2.46,1,0.117,"height"
"trt:heterosis4",0.71,2,0.7011,"height"
"(Intercept)2",962.1,1,0,"bushiness"
"trt5",84.14,2,0,"bushiness"
"heterosis5",0.33,1,0.5654,"bushiness"
"trt:heterosis5",8.7,2,0.0129,"bushiness"
