"","colors","trt","estimated response","SE","df","n","lower CI","upper CI","comp","trait"
"1","M_M","early drought",0.85,0.0930856279359649,Inf,18,0.58,0.96,"  b","survival"
"2","M_Y","early drought",0.68,0.128579123482625,Inf,18,0.4,0.87," ab","survival"
"3","Y_Y","early drought",0.74,0.121599577692031,Inf,18,0.45,0.91," ab","survival"
"4","M_M","late drought",0.63,0.13276711846209,Inf,18,0.36,0.84," ab","survival"
"5","M_Y","late drought",0.14,0.0913193691968965,Inf,18,0.04,0.42," a ","survival"
"6","Y_Y","late drought",0.78,0.110029741523728,Inf,18,0.5,0.92,"  b","survival"
"7","M_M","control",0.63,0.139769260061105,Inf,18,0.35,0.85," ab","flowering"
"8","M_Y","control",0.91,0.0712110309574721,Inf,18,0.65,0.98,"  b","flowering"
"9","Y_Y","control",0.5,0.149320055171877,Inf,18,0.24,0.77," ab","flowering"
"10","M_M","early drought",0.1,0.0734416992750723,Inf,18,0.02,0.36," a ","flowering"
"11","M_Y","early drought",0.44,0.147085216866265,Inf,18,0.2,0.72," ab","flowering"
"12","Y_Y","early drought",0.13,0.089762951180089,Inf,18,0.03,0.41," a ","flowering"
"13","M_M","late drought",0.25,0.121039609132978,Inf,18,0.08,0.54," a ","flowering"
"14","M_Y","late drought",0.69,0.13190819454249,Inf,18,0.4,0.88," ab","flowering"
"15","Y_Y","late drought",0.3,0.132232048017694,Inf,18,0.11,0.6," ab","flowering"
"16","M_M","control",3.78,1.30307688466051,Inf,18,1.92,7.43,"  bc","n flowers"
"17","M_Y","control",6.17,2.07553156581454,Inf,18,3.19,11.93,"   c","n flowers"
"18","Y_Y","control",3,1.05124577150168,Inf,18,1.51,5.96,"  bc","n flowers"
"19","M_M","early drought",0.07,0.0707146466437101,Inf,15,0.01,0.53," a  ","n flowers"
"20","M_Y","early drought",1.17,0.556876998322633,Inf,12,0.46,2.97," abc","n flowers"
"21","Y_Y","early drought",0.31,0.19322898574388,Inf,13,0.09,1.05," a  ","n flowers"
"22","M_M","late drought",0.55,0.316783778508615,Inf,11,0.17,1.7," ab ","n flowers"
"23","M_Y","late drought",0,0.0000513381114161224,Inf,3,0,0," abc","n flowers"
"24","Y_Y","late drought",0.86,0.399650832979285,Inf,14,0.34,2.14," ab ","n flowers"
"41","M_M","early drought",15.35,4.31286313688865,37.5428578323555,15,6.62,24.09," a   ","height (cm)"
"51","M_Y","early drought",18.68,4.66076094284695,46.5606431756292,12,9.3,28.06," a   ","height (cm)"
"61","Y_Y","early drought",21.19,4.69795177569742,38.5587184230515,13,11.69,30.7," a   ","height (cm)"
"81","M_Y","late drought",22.49,8.08846114680571,110.040965833533,3,6.46,38.52," abc ","height (cm)"
"71","M_M","late drought",25.68,4.71017662674372,57.9570484285179,11,16.25,35.11," ab  ","height (cm)"
"91","Y_Y","late drought",28.54,4.35150097012547,46.1909597040582,14,19.78,37.3," ab  ","height (cm)"
"31","Y_Y","control",40.64,3.983500493175,35.6478080550088,18,32.56,48.72,"  bc ","height (cm)"
"110","M_M","control",47,3.9189625622711,35.959215210647,18,39.05,54.95,"   c ","height (cm)"
"25","M_Y","control",67.34,3.92425168804655,35.8120796040143,18,59.38,75.3,"    d","height (cm)"
"111","M_M","control",32.1,4.88546872017416,Inf,17,23.82,43.26,"   cd","bushiness (n nodes)"
"26","M_Y","control",22.82,3.49834256302795,Inf,18,16.89,30.81,"  bcd","bushiness (n nodes)"
"32","Y_Y","control",40.5,6.1195767375594,Inf,18,30.11,54.45,"    d","bushiness (n nodes)"
"42","M_M","early drought",16.69,2.94030840512935,Inf,15,11.82,23.58," ab  ","bushiness (n nodes)"
"52","M_Y","early drought",12.36,2.27948376040427,Inf,12,8.61,17.74," a   ","bushiness (n nodes)"
"62","Y_Y","early drought",20.84,3.74118168481333,Inf,13,14.66,29.63," abc ","bushiness (n nodes)"
"72","M_M","late drought",22.12,3.60936417712358,Inf,10,16.07,30.46," ab  ","bushiness (n nodes)"
"82","M_Y","late drought",25,4.85887257532119,Inf,3,17.08,36.59,"  bcd","bushiness (n nodes)"
"92","Y_Y","late drought",25.48,3.99305094073186,Inf,14,18.74,34.64," abc ","bushiness (n nodes)"
"112","M_M","control",58,2.39286874301412,Inf,11,53.49,62.88,"  bc","time to flower (days)"
"27","M_Y","control",53.62,1.90206276995425,Inf,16,50.02,57.49," ab ","time to flower (days)"
"33","Y_Y","control",55.89,2.59308251165701,Inf,9,51.03,61.21,"  b ","time to flower (days)"
"43","M_M","early drought",77,6.54920904785061,Inf,2,65.18,90.97,"   c","time to flower (days)"
"53","M_Y","early drought",47.12,2.51035926151096,Inf,8,42.45,52.31," ab ","time to flower (days)"
"63","Y_Y","early drought",52,4.32073275663258,Inf,3,44.19,61.2," ab ","time to flower (days)"
"73","M_M","late drought",47.6,3.1923943503884,Inf,5,41.74,54.29," ab ","time to flower (days)"
"83","M_Y","late drought",45.42,2.00982337206476,Inf,12,41.64,49.53," a  ","time to flower (days)"
"93","Y_Y","late drought",52,3.05521915929728,Inf,6,46.34,58.35," ab ","time to flower (days)"
